"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"PAY.TAX.VAT.REF.OBT.WKS.TM.DB1719","Paying taxes","Time to obtain VAT refund (weeks) (DB17-20 methodology)","","The time to obtain VAT refund measures the time from purchase of the machine to the date of submission of the refund claim (this is equal to half the filing period), the length of any mandatory period that the excess output VAT must be carried forward before a claim can be made, and the time from the submission of the VAT refund claim to the date the refund is received. If a company that requests a VAT cash refund arising from a capital purchase would be selected for additional review in 50% or more of cases, the duration of the review is included in the time to obtain a VAT refund. The component indicator is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Governments need sustainable sources of funding for social programs and public investments to foster economic growth and development. The amount of the tax cost for businesses matters for investment and growth. Keeping tax rates at a reasonable level can encourage the development of the private sector and the formalization of businesses. Efficient tax administration can help encourage businesses to become formally registered, thereby expanding the tax base and increasing tax revenues.","","","","",
"PAY.TAX.VAT.REF.OBT.WKS.TM.DB1719.DFRN","Paying taxes","Score-Time to obtain VAT refund (weeks) (DB17-20 methodology)","","The score for time to obtain VAT refund benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Governments need sustainable sources of funding for social programs and public investments to foster economic growth and development. The amount of the tax cost for businesses matters for investment and growth. Keeping tax rates at a reasonable level can encourage the development of the private sector and the formalization of businesses. Efficient tax administration can help encourage businesses to become formally registered, thereby expanding the tax base and increasing tax revenues.","","","","",
"PAY.TAX.VAT.REFU.COMP.HRS.TM.DB1719","Paying taxes","Time to comply with VAT refund (hours) (DB17-20 methodology)","","The time to comply with VAT refund measures the time spent preparing and submitting the refund claim and the time spent preparing information for the tax officers, if, in 50% or more of cases, a company that requests a VAT cash refund arising from a capital purchase would be selected for an additional review. The component indicator is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Governments need sustainable sources of funding for social programs and public investments to foster economic growth and development. The amount of the tax cost for businesses matters for investment and growth. Keeping tax rates at a reasonable level can encourage the development of the private sector and the formalization of businesses. Efficient tax administration can help encourage businesses to become formally registered, thereby expanding the tax base and increasing tax revenues.","","","","",
"PAY.TAX.VAT.REFU.COMP.HRS.TM.DB1719.DFRN","Paying taxes","Score-Time to comply with VAT refund (hours) (DB17-20 methodology)","","The score for time to comply with VAT refund benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB17-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Governments need sustainable sources of funding for social programs and public investments to foster economic growth and development. The amount of the tax cost for businesses matters for investment and growth. Keeping tax rates at a reasonable level can encourage the development of the private sector and the formalization of businesses. Efficient tax administration can help encourage businesses to become formally registered, thereby expanding the tax base and increasing tax revenues.","","","","",
"PROT.MINOR.INV.DFRN.DB0614","Protecting minority investors","Score-Protecting minority investors (DB06-14 methodology)","","The score for protecting minority investors benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-14 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.DFRN.DB1519","Protecting minority investors","Score-Protecting minority investors (DB15-20 methodology)","","The score for protecting minority investors benchmarks economies with respect to the regulatory best practice on the indicator set. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EASE.SHARE.LGL.XD.010.DB0614","Protecting minority investors","Ease of shareholder suits index (0-10) (DB06-14 methodology)","","The ease of shareholder suits index measures how likely plaintiffs are to access internal corporate evidence. It has six components: (i) whether shareholders owning 10% of the company’s share capital have the right to inspect the Buyer-Seller transaction documents before filing a suit; (ii) whether shareholders owning 10% of the company’s share capital can request that a government inspector investigate the Buyer-Seller transaction without filing a suit; (iii) what range of documents is available to the shareholder plaintiff from the defendant and witnesses during trial; (iv) whether the plaintiff can obtain cate­gories of relevant documents from the defendant without identifying each document specifically; (v) whether the plaintiff can directly examine the defendant and witnesses during trial (0-2); and (vi) whether the standard of proof for civil suits is lower than that for criminal cases. The index is computed based on the methodology in the DB06-14 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EASE.SHARE.LGL.XD.010.DB1519","Protecting minority investors","Ease of shareholder suits index (0-10) (DB15-20 methodology)","","The ease of shareholder suits index measures how likely plaintiffs are to access internal corporate evidence and recover legal expenses. It has six components: (i) whether shareholders owning 10% of the company’s share capital have the right to inspect the Buyer-Seller transaction documents before filing a suit. Alternatively, whether they can request that a government inspector investigate the Buyer-Seller transaction without filing a suit; (ii) what range of documents is available to the shareholder plaintiff from the defendant and witnesses during trial; (iii) whether the plaintiff can obtain cate­gories of relevant documents from the defendant without identifying each document specifically; (iv) whether the plaintiff can directly examine the defendant and witnesses during trial; (v) whether the standard of proof for civil suits is lower than that for criminal cases; and (vi) whether shareholder plaintiffs can recover their legal expenses from the company. The index is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EASE.SSI.XD.0010.DB0614.DFRN","Protecting minority investors","Score-Ease of shareholder suits index (0-10) (DB06-14 methodology)","","The score for ease of shareholder suits index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB06-14 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EASE.SSI.XD.0010.DB1519.DFRN","Protecting minority investors","Score-Ease of shareholder suits index (0-10) (DB15-20 methodology)","","The score for ease of shareholder suits index benchmarks economies with respect to the regulatory best practice on the indicator. The score is indicated on a scale from 0 to 100, where 0 represents the worst regulatory performance and 100 the best regulatory performance, and is computed based on the methodology in the DB15-20 studies.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
"PROT.MINOR.INV.EXT.BUS.DISC.010.XD","Protecting minority investors","Extent of disclosure index (0-10)","","The extent of disclosure index measures the approval and disclosure requirements of related-party transactions. It has five components: (i) whether it is the managing director alone, the board of directors, or the general meeting of shareholders the corporate body who can provide legally sufficient approval for the transaction (points are assigned depending on whether interested directors are permitted to vote or not); (ii) whether an external body (an independent auditor, for example) must review the transaction before it takes place; (iii) whether disclosure by Mr. James to the board of directors or the supervisory board is required; (iv) whether immediate disclosure of the transaction to the public, the regulator or the shareholders is required; and (v) whether disclosure in periodic filings (for example, annual reports) is required.","","Annual","","","","The Doing Business methodology has five limitations that should be considered when interpreting the data. First, for most economies the collected data refer to businesses in the largest business city and may not be representative of regulation in other parts of the economy. Second, the data often focus on a specific business form—generally a limited liability company (or its legal equivalent) of a specified size—and may not be representative of the regulation on other businesses. Third, transactions described in a standardized case scenario refer to a specific set of issues and may not represent the full set of issues that a business encounters. Fourth, the measures of time involve an element of judgment by the expert respondents. When sources indicate different estimates, the time indicators reported in Doing Business represent the median values of several responses given under the assumptions of the standardized case. Finally, the methodology assumes that a business has full information on what is required and does not waste time when completing procedures. In practice, completing a procedure may take longer if the business lacks information or is unable to follow up promptly. Alternatively, the business may choose to disregard some burdensome procedures. For both reasons the time delays reported in Doing Business would differ from the recollection of entrepreneurs reported in the World Bank Group Enterprise questionnaires or other firm-level questionnaires.","","","World Bank Group, Doing Business project (http://www.doingbusiness.org/).","Data are collected by the World Bank Group with a standardized questionnaire that uses a simple business case to ensure comparability across economies and over time—with assumptions about the legal form of the business, its size, its location and nature of its operation. Questionnaires are administered to more than 13,800 local experts, including lawyers, business consultants, accountants, freight forwarders, government officials and other professionals routinely administering or advising on legal and regulatory requirements.

The Doing Business data are based on a detailed reading of domestic laws, regulations and administrative requirements as well as their implementation in practice as experienced by private firms. The report covers 190 economies—including some of the smallest and poorest economies, for which little or no data are available from other sources. The data are collected through several rounds of communication with expert respondents (both private sector practitioners and government officials), through responses to questionnaires, conference calls, written correspondence and visits by the team. Doing Business relies on four main sources of information: the relevant laws and regulations, Doing Business respondents, the governments of the economies covered and the World Bank Group regional staff.","Minority investors protection plays a crucial part in addressing many corporate governance issues. One of the most important problems in corporate governance is self-dealing—the use of corporate assets by company insiders for personal gain. Empirical research shows that stricter regulation of self-dealing is associated with greater equity investment and lower concentration of ownership. Corporate governance standards on board composition and independence, firm transparency and disclosure, and shareholders' rights relative to the board of directors and management can minimize the agency problem between majority and minority shareholders as well as that between minority shareholders and the board of directors and management.","","","","",
