,Country Name,Country Code,Indicator Name,Indicator Code,2016,2017,2018,2019,2020
12795,Côte d'Ivoire,CIV,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,8.8,8.8,8.8,8.8,8.8
12829,Côte d'Ivoire,CIV,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,110.0
12833,Côte d'Ivoire,CIV,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,114.0
12992,Croatia,HRV,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,71.4,72.2,72.6,73.0,73.6
12995,Croatia,HRV,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,81.8,81.4,81.4,81.8,81.8
13000,Croatia,HRV,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
13034,Croatia,HRV,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,51.0
13038,Croatia,HRV,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,49.0
13197,Cyprus,CYP,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,72.0,72.3,72.3,72.8,73.4
13200,Cyprus,CYP,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,84.4,85.1,80.1,80.8,85.5
13205,Cyprus,CYP,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,9.3,9.6,8.1,8.1,8.3
13239,Cyprus,CYP,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,54.0
13243,Cyprus,CYP,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,29.0
13402,Czech Republic,CZE,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,76.1,76.4,76.4,76.3,76.3
13405,Czech Republic,CZE,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,81.6,81.7,81.2,81.4,81.4
13410,Czech Republic,CZE,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,5.6,5.1,5.1,5.2,5.2
13444,Czech Republic,CZE,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,41.0
13448,Czech Republic,CZE,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,53.0
13607,Denmark,DNK,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,84.5,84.6,84.6,85.2,85.3
13610,Denmark,DNK,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,91.1,91.1,91.1,91.1,91.1
13615,Denmark,DNK,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,18.1,18.4,17.1,17.1,17.1
13649,Denmark,DNK,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,4.0
13653,Denmark,DNK,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,8.0
13812,Djibouti,DJI,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,44.3,47.2,50.9,58.4,60.5
13815,Djibouti,DJI,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,62.8,62.8,62.7,62.7,62.7
13820,Djibouti,DJI,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,17.7,17.7,17.7,17.7,17.7
13854,Djibouti,DJI,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,112.0
13858,Djibouti,DJI,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,133.0
14017,Dominica,DMA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,61.5,61.2,61.7,60.5,60.5
14020,Dominica,DMA,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,74.1,74.7,75.6,75.6,75.6
14025,Dominica,DMA,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,26.1,24.4,21.8,21.8,21.8
14059,Dominica,DMA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,111.0
14063,Dominica,DMA,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,83.0
14222,Dominican Republic,DOM,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.9,57.7,59.1,59.3,60.0
14225,Dominican Republic,DOM,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,59.5,59.9,57.4,57.4,57.4
14230,Dominican Republic,DOM,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,23.7,22.6,29.1,29.1,29.1
14264,Dominican Republic,DOM,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,115.0
14268,Dominican Republic,DOM,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,150.0
14427,Ecuador,ECU,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.1,57.5,57.5,57.6,57.7
14430,Ecuador,ECU,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,59.6,59.3,58.4,59.4,58.6
14435,Ecuador,ECU,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,16.2,16.3,16.3,16.1,18.2
14469,Ecuador,ECU,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,129.0
14473,Ecuador,ECU,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,147.0
14632,"Egypt, Arab Rep.",EGY,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,54.7,55.5,55.8,58.5,60.1
14635,"Egypt, Arab Rep.",EGY,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,50.8,51.4,50.5,52.6,55.1
14640,"Egypt, Arab Rep.",EGY,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,16.4,14.7,14.0,13.7,14.4
14674,"Egypt, Arab Rep.",EGY,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,114.0
14678,"Egypt, Arab Rep.",EGY,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,156.0
14837,El Salvador,SLV,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,62.4,62.7,64.7,64.9,65.3
14840,El Salvador,SLV,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,47.2,50.9,77.4,77.3,77.5
14845,El Salvador,SLV,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,20.2,16.9,16.9,16.9,16.6
14879,El Salvador,SLV,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,91.0
14883,El Salvador,SLV,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,70.0
15042,Equatorial Guinea,GNQ,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,40.0,38.5,40.3,40.5,41.1
15045,Equatorial Guinea,GNQ,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,55.7,41.5,41.5,41.5,41.5
15050,Equatorial Guinea,GNQ,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,20.7,53.0,53.0,53.0,53.0
15084,Equatorial Guinea,GNQ,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,178.0
15088,Equatorial Guinea,GNQ,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,179.0
15247,Eritrea,ERI,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,20.9,20.9,21.4,21.5,21.6
15250,Eritrea,ERI,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,55.9,55.9,55.9,55.9,55.9
15255,Eritrea,ERI,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,9.2,9.2,9.2,9.2,9.2
15289,Eritrea,ERI,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,189.0
15293,Eritrea,ERI,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,153.0
15452,Estonia,EST,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,80.5,80.7,80.8,80.8,80.6
15455,Estonia,EST,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,88.2,89.4,89.6,89.6,89.9
15460,Estonia,EST,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,8.2,7.8,7.8,7.8,7.7
15494,Estonia,EST,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,18.0
15498,Estonia,EST,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,12.0
15657,Eswatini,SWZ,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,56.9,58.4,58.6,58.7,59.5
15660,Eswatini,SWZ,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,77.4,77.3,77.3,77.1,77.1
15665,Eswatini,SWZ,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,25.6,25.5,25.4,25.3,25.2
15699,Eswatini,SWZ,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,121.0
15703,Eswatini,SWZ,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,73.0
15862,Ethiopia,ETH,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,43.8,44.1,46.1,47.1,48.0
15865,Ethiopia,ETH,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,63.1,62.9,62.9,63.3,63.3
15870,Ethiopia,ETH,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,24.9,24.6,24.6,24.6,24.6
15904,Ethiopia,ETH,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,159.0
15908,Ethiopia,ETH,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,132.0
16067,Fiji,FJI,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,62.8,61.3,61.3,61.4,61.5
16070,Fiji,FJI,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,70.6,70.7,71.1,71.0,71.1
16075,Fiji,FJI,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,20.6,20.3,19.2,19.6,19.6
16109,Fiji,FJI,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,102.0
16113,Fiji,FJI,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,101.0
16272,Finland,FIN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,80.1,80.1,80.0,80.0,80.2
16275,Finland,FIN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,90.3,90.2,90.1,90.6,90.9
16280,Finland,FIN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,11.8,11.7,11.7,11.9,12.1
16314,Finland,FIN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,20.0
16318,Finland,FIN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,10.0
16477,France,FRA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,76.1,76.3,76.0,76.8,76.8
16480,France,FRA,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,77.5,77.8,78.4,79.3,79.2
16485,France,FRA,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,-0.2,0.2,1.0,0.3,0.2
16519,France,FRA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,32.0
16523,France,FRA,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,61.0
16682,Gabon,GAB,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,44.0,43.7,44.7,44.5,45.0
16685,Gabon,GAB,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,51.6,51.6,51.6,35.9,35.9
16690,Gabon,GAB,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,20.5,20.5,20.5,20.3,20.3
16724,Gabon,GAB,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,169.0
16728,Gabon,GAB,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,182.0
16887,"Gambia, The",GMB,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,46.2,47.8,47.8,47.8,50.3
16890,"Gambia, The",GMB,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,47.9,47.9,47.9,45.8,49.0
16895,"Gambia, The",GMB,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,6.1,6.1,6.1,6.1,24.4
16929,"Gambia, The",GMB,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,155.0
16933,"Gambia, The",GMB,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,172.0
17092,Georgia,GEO,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,78.3,80.8,83.0,83.5,83.7
17095,Georgia,GEO,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,83.5,87.1,87.1,89.0,89.2
17100,Georgia,GEO,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,14.3,14.3,14.3,7.8,7.8
17134,Georgia,GEO,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,7.0
17138,Georgia,GEO,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,14.0
17297,Germany,DEU,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,79.5,79.6,79.3,79.3,79.7
17300,Germany,DEU,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,82.2,82.2,82.1,82.1,82.2
17305,Germany,DEU,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,23.2,23.2,23.2,23.2,23.2
17339,Germany,DEU,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,22.0
17343,Germany,DEU,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,46.0
17502,Ghana,GHA,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,57.0,58.0,58.4,60.4,60.0
17505,Ghana,GHA,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,66.2,66.2,66.5,66.8,56.0
17510,Ghana,GHA,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,18.0,18.0,18.5,17.7,10.0
17544,Ghana,GHA,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,118.0
17548,Ghana,GHA,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,152.0
17707,Greece,GRC,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,66.9,67.1,67.1,67.4,68.4
17710,Greece,GRC,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,77.8,77.3,77.0,76.9,77.1
17715,Greece,GRC,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,19.7,22.4,23.0,23.0,23.0
17749,Greece,GRC,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,79.0
17753,Greece,GRC,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,72.0
17912,Grenada,GRD,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,53.6,53.4,53.3,53.4,53.4
17915,Grenada,GRD,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,60.6,60.6,59.4,59.6,59.6
17920,Grenada,GRD,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,27.6,27.6,26.3,26.5,26.5
17954,Grenada,GRD,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,146.0
17958,Grenada,GRD,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,143.0
18117,Guatemala,GTM,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,61.7,62.0,61.5,62.5,62.6
18120,Guatemala,GTM,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,69.1,70.0,70.3,70.3,70.3
18125,Guatemala,GTM,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,22.5,20.2,20.2,20.2,20.2
18159,Guatemala,GTM,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,96.0
18163,Guatemala,GTM,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,104.0
18322,Guinea,GIN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,44.3,46.0,46.7,49.3,49.4
18325,Guinea,GIN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,27.4,38.9,38.9,38.9,35.5
18330,Guinea,GIN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,0.0,0.0,0.0,0.0,0.0
18364,Guinea,GIN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,156.0
18368,Guinea,GIN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,183.0
18527,Guinea-Bissau,GNB,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,40.4,42.8,42.9,43.2,43.2
18530,Guinea-Bissau,GNB,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,55.2,55.2,55.2,55.2,55.2
18535,Guinea-Bissau,GNB,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,15.1,15.1,15.1,15.1,15.1
18569,Guinea-Bissau,GNB,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,174.0
18573,Guinea-Bissau,GNB,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,155.0
18732,Guyana,GUY,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,51.0,56.4,56.8,55.6,55.5
18735,Guyana,GUY,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,65.1,65.1,65.1,65.7,65.7
18740,Guyana,GUY,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,21.3,21.3,21.3,19.6,19.6
18774,Guyana,GUY,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,134.0
18778,Guyana,GUY,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,122.0
18937,Haiti,HTI,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,37.7,37.7,37.7,37.9,40.7
18940,Haiti,HTI,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,58.4,58.4,57.5,57.6,57.6
18945,Haiti,HTI,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,23.8,23.8,22.7,22.8,22.8
18979,Haiti,HTI,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,179.0
18983,Haiti,HTI,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,149.0
19142,Honduras,HND,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,56.1,55.7,55.9,56.0,56.3
19145,Honduras,HND,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,48.7,49.5,49.4,49.3,49.9
19150,Honduras,HND,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,31.3,31.3,31.3,31.2,29.2
19184,Honduras,HND,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,133.0
19188,Honduras,HND,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,167.0
19347,"Hong Kong, China",HKG,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,84.3,84.8,85.0,85.1,85.3
19350,"Hong Kong, China",HKG,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,99.7,99.7,99.7,99.7,99.7
19355,"Hong Kong, China",HKG,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,17.5,17.5,17.5,17.5,16.5
19389,"Hong Kong, China",HKG,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,3.0
19393,"Hong Kong, China",HKG,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,2.0
19552,Hungary,HUN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,71.1,71.4,72.7,73.2,73.4
19555,Hungary,HUN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,70.8,71.6,77.0,79.2,80.6
19560,Hungary,HUN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,11.8,9.9,9.9,9.1,9.4
19594,Hungary,HUN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,52.0
19598,Hungary,HUN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,56.0
19757,Iceland,ISL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,79.0,79.0,79.0,79.0,79.0
19760,Iceland,ISL,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,84.4,84.4,84.5,84.2,83.8
19765,Iceland,ISL,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,8.9,8.9,9.0,8.8,8.5
19799,Iceland,ISL,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,26.0
19803,Iceland,ISL,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,42.0
19962,India,IND,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,54.5,55.9,60.9,67.5,71.0
19965,India,IND,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,41.5,44.7,65.2,65.4,67.6
19970,India,IND,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,23.4,23.5,23.5,21.7,21.6
20004,India,IND,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,63.0
20008,India,IND,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,115.0
20167,Indonesia,IDN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,62.1,64.7,66.9,68.2,69.6
20170,Indonesia,IDN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,67.5,67.7,68.5,68.4,75.8
20175,Indonesia,IDN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,20.2,20.0,18.2,18.1,18.1
20209,Indonesia,IDN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,73.0
20213,Indonesia,IDN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,81.0
20372,"Iran, Islamic Rep.",IRN,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,55.4,55.7,55.7,58.6,58.5
20375,"Iran, Islamic Rep.",IRN,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,53.8,53.5,53.5,59.5,59.5
20380,"Iran, Islamic Rep.",IRN,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,17.8,18.4,18.4,18.4,18.4
20414,"Iran, Islamic Rep.",IRN,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,127.0
20418,"Iran, Islamic Rep.",IRN,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,144.0
20577,Iraq,IRQ,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,42.9,44.1,44.6,44.7,44.7
20580,Iraq,IRQ,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,63.3,63.3,63.5,63.5,63.5
20585,Iraq,IRQ,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,15.0,15.0,15.0,15.0,15.0
20619,Iraq,IRQ,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,172.0
20623,Iraq,IRQ,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,131.0
20782,Ireland,IRL,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,79.8,80.1,80.1,79.6,79.6
20785,Ireland,IRL,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,94.6,94.6,94.6,94.6,94.6
20790,Ireland,IRL,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,12.4,12.4,12.4,12.4,12.4
20824,Ireland,IRL,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,24.0
20828,Ireland,IRL,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,4.0
20987,Israel,ISR,Global: Ease of doing business score (DB17-20 methodology),IC.BUS.EASE.DFRN.XQ.DB1719,73.0,74.2,74.3,75.0,76.7
20990,Israel,ISR,Paying taxes (DB17-20 methodology) - Score,PAY.TAX.DB1719.DRFN,71.9,79.6,79.9,80.2,89.6
20995,Israel,ISR,Paying taxes: Profit tax (% of profits),PAY.TAX.PRFT.CP.ZS,20.9,20.8,19.6,18.8,18.0
21029,Israel,ISR,Rank: Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ,,,,,35.0
21033,Israel,ISR,Rank: Paying taxes (1=most business-friendly regulations),PAY.TAX.RK.DB19,,,,,13.0
